,Part,Sentence,token_count,annotation
0,form,"Da seit Liebziger=Jahren ein ungesunder Zug vom Lande hin Stadt geht da Städte Landgemeinden ihre Arbeitsinvaliden, Witwen unehelichen Kinder zurückstellen, verlangen daß jeder Arbeiter ohne besonderes Ansuchen Heimatsrecht erwirbt, wo durch fünf Jahre Arbeit gestanden, zwar Gemeinde, welcher Unternehmen gehört, welchem arbeitet.",42,negative
1,form,"Also aus Liebe zur Eintracht dafür, daß vielen Seiten geäußerten Wünschen dann Rechnung tragen werde, wenn dies auch im ungarischen Landtage, wo ebenfalls Serben vertreten sind, angenommen wird. Branicani: Im serbischen Congresse würde Benennung „croatisch=serbische Natron“ nie gehört.",38,mixed
2,form,"Zur selben Zeit zogen Serben entgegengesetzten Seite, über hundert Mann stark, Prügeln, Mistgabeln, Handschars, Messern anderen Mord=Instrumenten bewaffnet, Arges ahnenden Deutschen entgegen.",22,negative
3,form,"Ein gewisser Hettinger — Serben blos deßhalb so gram sind, weil vor einigen Tagen absoluter, beinahe ausschließlicher Stimmenmehrheit hiesigen Bevölkerung zum Gemeinde=Vorsteher erwählt, nichtsdestoweniger aber einem vom hiesigen Stuhlrichter eingesetzten Serben, B. P., weichen mußte, auf blos Stimmen gefallen waren — dessen Tod Serben gefordert ward ihnen eifrig gesucht.",49,negative
4,form,"Belgrad — hatten frühere Kriege bewiesen — war für Vertheidigung Türkei gegen auswärtige Mächte keinem erheblichen Nutzen, aber es war ein Zeichen Unterjochung eine beständige Quelle Erbitterung für Serbien. Serben wünschten, daß Garnison entweder zurückgezogen oder Festung selbst geschleift werden sollte — eine Festung, somnig glorreichen Erinnerungen türkischen Geschichte zusammenhängt, aber jetzt so ganz werthlos für Pforte nur ein unaufhörlicher Stein Anstoßes, ein Anlaß Geldausgaben, zur Plage zum Uebelwollen für Serbien war.",72,negative
5,form,"Treibt auch Noth einen Serben oder Walachen zur Arbeit, so strengt durchaus nicht an.  .",15,negative
6,form,"Einem Augenblicke, wo Serbien auf allen Gebieten kräftigen Anlaufnimmt, um seinen staatlichen Aufgaben voll- genügen, wo es endlich arbeiten vorwärts streben beginnt, einem solchen Augenblicke begibt eine Partei, indem sie an antiquirten Anschauungen festhält, Chancen zur Macht gelangen, selbst.",39,mixed
8,form,"Bei Verschwinden dieser einst so mächtigen und beliebten Partei muß auch größte Gegner derselben bekennen, daß sie zwar viele politische Fehler begangen, aber auch sehr viel für Serbien gethan hat. Sie war für Serbien bahnbrechend wirklich eine Partei Fortschrittes der Civilisation!",41,positive
9,form,"Armen Arbeiter sind nach Schweitzer's Ansicht elend im Stich gelassen, sie sind benutzt, um Tüchtigkeit Gewerkvereine erproben; soll Zweigvereinen Vereinsmitgliedern gehörig klar gemacht und Versammlung unbenutzt gelassen werden, für Vereinssache gegen Fortschritt wirken. ",33,negative
10,form,"Arbeiter wird Schumpfbeit, der Tätigkeit, Mangels an Bildungsfühigkeit beschuldigt, und als Vorwand für geringe Lohnsätze wird Arbeiter oft vorgeworfen, daß ihre Leistungen diesen schlechten Lohn nicht numal verdienten.",28,negative
12,form,"Wie Wiener Handelskammer andere uns belehrt haben, hängt aber Sinken Löhne die Blüthe Industrie ab, es würde daher Unternehmern Anderes übrig bleiben, als an Stelle der nach Bosnien abgeschobenen Arbeiterreserve sofort künftlich eine neue schaffen.",35,neutral
