Part,Sentence,ann1,ann2,ann3
form,"Da seit Liebziger=Jahren ein ungesunder Zug vom Lande hin Stadt geht da Städte Landgemeinden ihre Arbeitsinvaliden, Witwen unehelichen Kinder zurückstellen, verlangen daß jeder Arbeiter ohne besonderes Ansuchen Heimatsrecht erwirbt, wo durch fünf Jahre Arbeit gestanden, zwar Gemeinde, welcher Unternehmen gehört, welchem arbeitet.",negative,negative,negative
form,"Also aus Liebe zur Eintracht dafür, daß vielen Seiten geäußerten Wünschen dann Rechnung tragen werde, wenn dies auch im ungarischen Landtage, wo ebenfalls Serben vertreten sind, angenommen wird. Branicani: Im serbischen Congresse würde Benennung „croatisch=serbische Natron“ nie gehört.",mixed,positive,mixed
form,"Zur selben Zeit zogen Serben entgegengesetzten Seite, über hundert Mann stark, Prügeln, Mistgabeln, Handschars, Messern anderen Mord=Instrumenten bewaffnet, Arges ahnenden Deutschen entgegen.",negative,negative,negative
form,"Ein gewisser Hettinger — Serben blos deßhalb so gram sind, weil vor einigen Tagen absoluter, beinahe ausschließlicher Stimmenmehrheit hiesigen Bevölkerung zum Gemeinde=Vorsteher erwählt, nichtsdestoweniger aber einem vom hiesigen Stuhlrichter eingesetzten Serben, B. P., weichen mußte, auf blos Stimmen gefallen waren — dessen Tod Serben gefordert ward ihnen eifrig gesucht.",negative,negative,negative
form,"Belgrad — hatten frühere Kriege bewiesen — war für Vertheidigung Türkei gegen auswärtige Mächte keinem erheblichen Nutzen, aber es war ein Zeichen Unterjochung eine beständige Quelle Erbitterung für Serbien. Serben wünschten, daß Garnison entweder zurückgezogen oder Festung selbst geschleift werden sollte — eine Festung, somnig glorreichen Erinnerungen türkischen Geschichte zusammenhängt, aber jetzt so ganz werthlos für Pforte nur ein unaufhörlicher Stein Anstoßes, ein Anlaß Geldausgaben, zur Plage zum Uebelwollen für Serbien war.",negative,negative,neutral
form,"Treibt auch Noth einen Serben oder Walachen zur Arbeit, so strengt durchaus nicht an.  .",negative,negative,negative
form,"Einem Augenblicke, wo Serbien auf allen Gebieten kräftigen Anlaufnimmt, um seinen staatlichen Aufgaben voll- genügen, wo es endlich arbeiten vorwärts streben beginnt, einem solchen Augenblicke begibt eine Partei, indem sie an antiquirten Anschauungen festhält, Chancen zur Macht gelangen, selbst.",mixed,mixed,mixed
form,"Arbeiterhielten selbst  Ordnung aufrecht,  auch  gestört . Ofsiciere  bosnischen Infanterie-Regiments, gegenwelche feit  Vorgängen   vorigen Woche große Erbitterung herrscht, wurden  mehreren Besitzern  Gast- undKaffeehäusern höflichst ersucht,  ihrem eigenen Interesse  injenem  Eigenthümer dieser Locale letztere  meiden.",negative,neutral,mixed
form,"Bei Verschwinden dieser einst so mächtigen und beliebten Partei muß auch größte Gegner derselben bekennen, daß sie zwar viele politische Fehler begangen, aber auch sehr viel für Serbien gethan hat. Sie war für Serbien bahnbrechend wirklich eine Partei Fortschrittes der Civilisation!",negative,positive,positive
form,"Armen Arbeiter sind nach Schweitzer's Ansicht elend im Stich gelassen, sie sind benutzt, um Tüchtigkeit Gewerkvereine erproben; soll Zweigvereinen Vereinsmitgliedern gehörig klar gemacht und Versammlung unbenutzt gelassen werden, für Vereinssache gegen Fortschritt wirken. ",negative,negative,negative
form,"Arbeiter wird Schumpfbeit, der Tätigkeit, Mangels an Bildungsfühigkeit beschuldigt, und als Vorwand für geringe Lohnsätze wird Arbeiter oft vorgeworfen, daß ihre Leistungen diesen schlechten Lohn nicht numal verdienten.",negative,negative,negative
form,"Um unsere Ansicht beweisen, daß nicht Mangel an Fleiß, sondern daß System Ursache intellectuellen Unfähigkeit Arbeiter dient vor Allem die Thatfache, daß senen Gewerbskreisen, welche heute noch nicht Fabrikssystem unterworfen sind, allseitig gebildetsten, geschicktesten Arbeiter aufzufinden sind. Daraus geht klar empirisch hei vor, daß im Handwerke Menschen viel Bildung aneignen, sich größere Fähigkeiten erwerben auch geistig besser ausbilden können, als Fabriksindustrie.",negative,mixed,neutral
form,"Wie Wiener Handelskammer andere uns belehrt haben, hängt aber Sinken Löhne die Blüthe Industrie ab, es würde daher Unternehmern Anderes übrig bleiben, als an Stelle der nach Bosnien abgeschobenen Arbeiterreserve sofort künftlich eine neue schaffen.",neutral,neutral,negative
form,"Wenn auch letzten Zeit die Versammlungen Arbeiterinnen Eindruck machte, als ob man es „Socialdemokratie im Unterrocke zu thun habe, wenn auch verschiedene religionsfeindlich Auslassungen einiger Rednerinnen Lohnbewegung absolut thun hatten, so kann doch verkauft werden, daß Streben hiesigen Arbeiterinnen nac Verbesserung ihrer Lage tiefste Berechtigung innewohn; Bieten doch gerade ungenügend bezahlten Arbeiterinne das beste Recrutirungsfeld für hier ungeheuerlich zunehmende Entsittlichung! ",negative,mixed,mixed
form,"Weiber Kinder wurden zu Hilfe gerufen, um Lohn eigenen Männer und Vater drücken; heranwachsende noch ungeborene Generationen vereindeten Kohlengruben; ein entsittlichtes, sieches verkrüppeltes Geschlecht. Product capitalistischen Mißbrauches Arbeiterclasse.",negative,negative,negative
form,"Vorträge wurden deutscher, ungarischer, böhmischer, italienischer, croatischer, polnischer, englischer, französischer Sprache gehalten.",neutral,neutral,neutral
form,"Montenegrinische Grenze gegen Herzegowina eine Linie, welche die europäische Diplomatie gezogen hat, aber der einheimischen Bevölkerung anerkannt wird; das montenegrinische Territorium, abgesehen von geographischen Schwierigkeiten, welche seiner Abschließung entgegenstehen, vermöge nationalen Oesterreich feindseligen Geistes, innerhalb desselben herrscht, natürliche Zufluchtsort geschlagenen, Waffen- Proviant=Depot zurückkehrenden Insurgenten, weder Fürst noch seine Negierung werden diese Verhältnisse wesentlich ändern können, weil sie selbst nationalen Gedanken unterthänig sind, Bevölkerung beherrscht.",negative,neutral,negative
form,"Somanche Dalmatien langersehnte Concessionen wurden bereits ertheilt, wie zahlreiche neue Hasenbauten, die allsogleiche Absenkung einer Commission zur Ausarbeitung von Detailarbeiten für Regulirung Narenta, die Fortsetzung Tracirung Bahn Zara nach Spalato wo möglich bis Ragusa, eine bedeutende Vermehrung Dotation für Schulwesen im Allgemeinen und insbesondere für so nothwendigen Volksschulen.— (Honvedbataillons.“ Man schreibt „Politik"" aus Wien: „Dementi, welches Nachricht von der Errichtung Honvedbataillons entgegengesetzt würde, nur halb wahr.",positive,positive,positive
form,"Es nämlich nur natürlich, daß nach Ereignissen letzten sechs bis sieben Jahre auf der Balkan=Halbinsel, ja während ganzen Zeit auch Bosnien Herzegowina gespielt haben, eine Menge Elemente entstanden sind, existiren, jahrelang nur nationalen Agitationen Räubereien gelebt haben.",negative,negative,negative
form,"Es nämlich nur natürlich, daß nach Ereignissen letzten sechs bis sieben Jahre auf der Balkan=Halbinsel, ja während ganzen Zeit auch Bosnien Herzegowina gespielt haben, eine Menge Elemente entstanden sind, existiren, jahrelang nur nationalen Agitationen Räubereien gelebt haben.",negative,negative,negative
form,"Während daher in sämmtlichen Cadetenschulen deutsche Sprache einen Hauptlehrgegenstand bildet, wird zugleich, als obligater Lehrgegenstand, einer oder mehreren Cadetenschulen Monarchie gelehrt: ungarisch, böhmisch, kroatisch, polnisch, rumänisch, slovenisch, ruthenisch und italienisch",neutral,neutral,neutral
form,"Man wollte Boden, auf welchem Antipathien gegen Großrussen gediehen, steril- machen entzog kleinrussischen Sprache Bedingungen für eine normale Entwicklung.",negative,negative,negative
form,"Diese Erwägung war bei ihr entscheidend. Arbeit Frauen denselben schädlich, ihnen und ihren Kindern, im Organismus wie Gesundheit. kleine Mädchen, eilf Jahren Grubengeschickt wird, sieht Tageslicht nur am Sonntag, wenigstens größten Theil Jahres hindurch.",negative,negative,negative
form,"Uebel besteht für beide Geschlechter, wenn Kinder jung, d. h. vor Befestigung ihres Knochengebäudes vor Befähigung ihrer Organisation, Arbeit — Arbeitsstätte zugelassen werden.",negative,negative,neutral
form,"Ministerialrath Steinbach hat darauf die wohl- sachlich entsprechende, aber leider sehr triste Antwort gegeben, indem großer Scharfe den Unterschied Stellung zwischen ehemaligen Zunstgesellen heutigen Fabriksarbeiter dargelegt hat.",negative,negative,neutral
